-15,-1.5016,0.01557,-0.0309
-14.9,-1.4932,0.01542,-0.0305
-14.8,-1.4848,0.01528,-0.0301
-14.7,-1.4763,0.01514,-0.0298
-14.6,-1.4678,0.01501,-0.0294
-14.5,-1.4593,0.01488,-0.029
-14.4,-1.4508,0.01475,-0.0286
-14.3,-1.4424,0.01462,-0.0282
-14.2,-1.4342,0.01449,-0.0278
-14.1,-1.4266,0.01432,-0.0272
-14,-1.4192,0.01416,-0.0266
-13.9,-1.412,0.01401,-0.0259
-13.8,-1.4049,0.01386,-0.0252
-13.7,-1.3978,0.01372,-0.0245
-13.6,-1.3909,0.01359,-0.0238
-13.5,-1.3842,0.01346,-0.023
-13.4,-1.3776,0.01333,-0.0221
-13.3,-1.3708,0.01321,-0.0213
-13.2,-1.3595,0.01307,-0.0215
-13.1,-1.3482,0.01293,-0.0217
-13,-1.3368,0.0128,-0.0218
-12.9,-1.3253,0.01267,-0.022
-12.8,-1.3137,0.01255,-0.0222
-12.7,-1.3021,0.01243,-0.0224
-12.6,-1.2904,0.01231,-0.0226
-12.5,-1.2786,0.0122,-0.0229
-12.4,-1.2668,0.01209,-0.0231
-12.3,-1.255,0.01198,-0.0233
-12.2,-1.243,0.01187,-0.0236
-12.1,-1.2312,0.01175,-0.0238
-12,-1.2195,0.01161,-0.024
-11.9,-1.2077,0.01147,-0.0243
-11.8,-1.1958,0.01133,-0.0245
-11.7,-1.1838,0.0112,-0.0248
-11.6,-1.1718,0.01108,-0.0251
-11.5,-1.1597,0.01096,-0.0254
-11.4,-1.1475,0.01084,-0.0257
-11.3,-1.1352,0.01074,-0.026
-11.2,-1.1229,0.01063,-0.0263
-11.1,-1.1106,0.01054,-0.0266
-11,-1.099,0.01045,-0.0267
-10.9,-1.0889,0.01037,-0.0265
-10.8,-1.0785,0.01029,-0.0264
-10.7,-1.0681,0.01019,-0.0263
-10.6,-1.0575,0.01008,-0.0262
-10.5,-1.0467,0.00997,-0.0262
-10.4,-1.0359,0.00987,-0.0261
-10.3,-1.0252,0.00977,-0.0261
-10.2,-1.0148,0.00968,-0.0259
-10.1,-1.0046,0.00959,-0.0257
-10,-0.9944,0.00951,-0.0255
-9.9,-0.9842,0.00943,-0.0254
-9.8,-0.9739,0.00936,-0.0252
-9.7,-0.9636,0.00929,-0.025
-9.6,-0.9532,0.00923,-0.0248
-9.5,-0.9425,0.00915,-0.0247
-9.4,-0.9321,0.00906,-0.0246
-9.3,-0.9217,0.00896,-0.0244
-9.2,-0.9115,0.00888,-0.0242
-9.1,-0.9012,0.0088,-0.024
-9,-0.8908,0.00873,-0.0239
-8.9,-0.8799,0.00866,-0.0238
-8.8,-0.8691,0.00859,-0.0237
-8.7,-0.8583,0.00853,-0.0236
-8.6,-0.8476,0.00848,-0.0235
-8.5,-0.8372,0.00841,-0.0233
-8.4,-0.8264,0.00833,-0.0233
